T,xi,Sd_m,Sa_pseudo_mps2,Sa_pseudo_g,Sa_actual_mps2,Sa_actual_g
0.200000,0.020000,0.006939,6.848123,0.698314,6.830712,0.696539
0.300000,0.020000,0.038737,16.991910,1.732693,16.972523,1.730716
0.400000,0.020000,0.043063,10.625250,1.083474,10.650630,1.086062
0.500000,0.020000,0.046977,7.418254,0.756451,7.434117,0.758069
0.600000,0.020000,0.052552,5.762999,0.587662,5.775816,0.588969
0.700000,0.020000,0.089159,7.183360,0.732499,7.191464,0.733325
0.800000,0.020000,0.099972,6.166757,0.628834,6.175947,0.629771
0.900000,0.020000,0.126451,6.163084,0.628460,6.164011,0.628554
1.000000,0.020000,0.228299,9.012864,0.919056,9.020184,0.919803
1.100000,0.020000,0.236802,7.726105,0.787843,7.732779,0.788524
1.200000,0.020000,0.358945,9.840673,1.003469,9.847397,1.004155
1.300000,0.020000,0.357061,8.340955,0.850541,8.346555,0.851112
1.400000,0.020000,0.320601,6.457567,0.658489,6.463539,0.659098
1.500000,0.020000,0.286854,5.033137,0.513237,5.038102,0.513743
1.600000,0.020000,0.231689,3.572943,0.364339,3.576645,0.364716
1.700000,0.020000,0.292936,4.001612,0.408051,4.004852,0.408381
1.800000,0.020000,0.434827,5.298233,0.540269,5.303274,0.540783
1.900000,0.020000,0.569611,6.229176,0.635199,6.234453,0.635737
2.000000,0.020000,0.589226,5.815428,0.593009,5.820414,0.593517
2.100000,0.020000,0.395525,3.540748,0.361056,3.544260,0.361414
2.200000,0.020000,0.362181,2.954203,0.301245,2.957179,0.301548
2.300000,0.020000,0.559108,4.172532,0.425480,4.176941,0.425929
2.400000,0.020000,0.559709,3.836186,0.391182,3.840074,0.391579
2.500000,0.020000,0.432805,2.733832,0.278773,2.736802,0.279076
2.600000,0.020000,0.438359,2.560021,0.261049,2.562186,0.261270
2.700000,0.020000,0.447411,2.422919,0.247069,2.425207,0.247302
2.800000,0.020000,0.493000,2.482505,0.253145,2.485110,0.253411
2.900000,0.020000,0.559854,2.628080,0.267990,2.630362,0.268222
3.000000,0.020000,0.544767,2.389615,0.243673,2.392278,0.243944
0.200000,0.050000,0.007257,7.162496,0.730371,7.145766,0.728665
0.300000,0.050000,0.028170,12.356597,1.260022,12.353380,1.259694
0.400000,0.050000,0.027282,6.731578,0.686430,6.778041,0.691168
0.500000,0.050000,0.039781,6.282003,0.640586,6.312386,0.643684
0.600000,0.050000,0.045338,4.971820,0.506984,4.992340,0.509077
0.700000,0.050000,0.063803,5.140475,0.524183,5.166218,0.526808
0.800000,0.050000,0.075266,4.642793,0.473433,4.664283,0.475624
0.900000,0.050000,0.102991,5.019669,0.511864,5.037180,0.513649
1.000000,0.050000,0.146110,5.768173,0.588190,5.796521,0.591081
1.100000,0.050000,0.171400,5.592227,0.570248,5.616759,0.572750
1.200000,0.050000,0.233916,6.412947,0.653939,6.441415,0.656842
1.300000,0.050000,0.263441,6.153977,0.627531,6.184260,0.630619
1.400000,0.050000,0.259901,5.234935,0.533815,5.263052,0.536682
1.500000,0.050000,0.237411,4.165611,0.424774,4.191387,0.427403
1.600000,0.050000,0.214160,3.302609,0.336772,3.325992,0.339157
1.700000,0.050000,0.224137,3.061793,0.312216,3.079601,0.314032
1.800000,0.050000,0.309406,3.770023,0.384435,3.789384,0.386410
1.900000,0.050000,0.407606,4.457514,0.454540,4.482043,0.457041
2.000000,0.050000,0.415124,4.097113,0.417789,4.121445,0.420270
2.100000,0.050000,0.358148,3.206152,0.326937,3.226201,0.328981
2.200000,0.050000,0.350851,2.861783,0.291821,2.880183,0.293697
2.300000,0.050000,0.407320,3.039763,0.309970,3.059894,0.312022
2.400000,0.050000,0.385799,2.644224,0.269636,2.660825,0.271329
2.500000,0.050000,0.336643,2.126424,0.216835,2.134560,0.217665
2.600000,0.050000,0.358872,2.095813,0.213713,2.108468,0.215004
2.700000,0.050000,0.369340,2.000132,0.203957,2.011649,0.205131
2.800000,0.050000,0.368965,1.857927,0.189456,1.870141,0.190701
2.900000,0.050000,0.375235,1.761437,0.179617,1.771630,0.180656
3.000000,0.050000,0.363116,1.592803,0.162421,1.604714,0.163635
0.200000,0.100000,0.006575,6.489352,0.661730,6.611196,0.674154
0.300000,0.100000,0.018939,8.307789,0.847159,8.471984,0.863902
0.400000,0.100000,0.023464,5.789572,0.590372,5.906718,0.602318
0.500000,0.100000,0.033034,5.216553,0.531940,5.353439,0.545899
0.600000,0.100000,0.038835,4.258782,0.434275,4.324881,0.441015
0.700000,0.100000,0.049174,3.961827,0.403994,4.045950,0.412572
0.800000,0.100000,0.054775,3.378790,0.344541,3.445371,0.351330
0.900000,0.100000,0.077849,3.794270,0.386908,3.840417,0.391614
1.000000,0.100000,0.105907,4.181056,0.426349,4.278442,0.436280
1.100000,0.100000,0.125670,4.100220,0.418106,4.180218,0.426264
1.200000,0.100000,0.144575,3.963593,0.404174,4.052266,0.413216
1.300000,0.100000,0.177974,4.157483,0.423945,4.234162,0.431764
1.400000,0.100000,0.188418,3.795129,0.386995,3.884056,0.396063
1.500000,0.100000,0.184183,3.231666,0.329538,3.312718,0.337803
1.600000,0.100000,0.182904,2.820608,0.287622,2.897105,0.295422
1.700000,0.100000,0.181995,2.486111,0.253513,2.565491,0.261607
1.800000,0.100000,0.223248,2.720214,0.277385,2.779045,0.283384
1.900000,0.100000,0.267253,2.922638,0.298026,2.990386,0.304935
2.000000,0.100000,0.278197,2.745691,0.279983,2.800161,0.285537
2.100000,0.100000,0.286464,2.564428,0.261499,2.621523,0.267321
2.200000,0.100000,0.291009,2.373673,0.242047,2.436150,0.248418
2.300000,0.100000,0.294025,2.194261,0.223752,2.258610,0.230314
2.400000,0.100000,0.277826,1.904189,0.194173,1.961741,0.200042
2.500000,0.100000,0.251519,1.588729,0.162005,1.609355,0.164109
2.600000,0.100000,0.268516,1.568133,0.159905,1.605539,0.163719
2.700000,0.100000,0.277288,1.501633,0.153124,1.539909,0.157027
2.800000,0.100000,0.278772,1.403762,0.143144,1.439610,0.146799
2.900000,0.100000,0.273229,1.282597,0.130788,1.320045,0.134607
3.000000,0.100000,0.262520,1.151543,0.117425,1.182730,0.120605
